chpt_game_zones,4. Game Zones,,
rule_stack_name,4.2.8.a. The {term:stack} is the name for the Runner's deck.,,
sec_hand,4.3. Hand,,
rule_hand,"4.3.1. A player's {term:hand} is the zone in which they hold the cards they have drawn from their deck. Cards can be added to a player's hand by other rules and card abilities as well. During setup, each player draws a starting hand. See {ref:sec_starting_the_game}.",,
rule_hand_secret,"4.3.2. A player's hand is kept secret from their opponent. A player may look at the cards in their own hand, but not at any of the cards in their opponent's hands.",,
rule_hand_unordered,4.3.3. Hands are not ordered. A player may freely arrange the cards in their hand in any order at any time.,,
rule_hand_size_open_info,4.3.4. The number of cards in a hand is open information to all players. Any player may count the number of cards in a hand at any time.,,
rule_hand_inactive,4.3.5. Cards in a hand are inactive.,,
rule_maximum_hand_size,"4.3.6. Each player has a maximum hand size, usually five. A player may have any number of cards in their hand at any given time, but during the discard phase of a player's turn they must discard cards from their hand until there are no more cards in their hand than their maximum hand size allows. See {ref:sec_discard_phase}.",,
rule_hand_name,4.3.7. Each player's hand has its own name as a means of differentiating between the two.,,
subsec_hq,4.3.8. HQ,,
rule_hq_name,4.3.8.a. {term:HQ} is the name for the Corp's hand. It is also one of the Corp's central servers. See {ref:subsec_central_servers}.,,
rule_identity_represents_hq,4.3.8.b. The Corp's identity card represents their HQ server for the purposes of gameplay. Ice protecting HQ is installed in front of the Corp's identity card and upgrades installed in the root of HQ are installed behind the Corp's identity card.,,
subsec_grip,4.3.9. Grip,,
rule_grip_name,4.3.9.a. The {term:grip} is the name for the Runner's hand.,,
sec_discard_pile,4.4. Discard Pile,,
rule_discard_pile,4.4.1. A player's {term:discard pile} is the zone in which they place cards that have been trashed or discarded. Discard piles start the game empty.,,
rule_discard_pile_unordered,4.4.2. Discard piles are not ordered. A player may freely arrange the cards in their discard pile in any order at any time.,,
rule_discard_pile_open_info,4.4.3. The number of cards in a discard pile is open information. Any player may count the number of cards in a discard pile at any time.,,
rule_discard_pile_inactive,4.4.4. Cards in a discard pile are inactive.,,
rule_discard_pile_inactive_name,4.4.5. Each player's discard pile has its own name as a means of differentiating between the two.,,
subsec_archives,4.4.6. Archives,,
rule_archives_name,4.4.6.a. {term:Archives} is the name for the Corp's discard pile. It is also one of the Corp's central servers. See {ref:subsec_central_servers}.,,
rule_archives_faceup_facedown,"4.4.6.b. Cards in Archives can be either faceup or facedown. If a Corp card is visible to the Runner when it is trashed or discarded, it is put in Archives faceup. If a Corp card is not visible to the Runner when it is trashed or discarded, then it is put in Archives facedown. Facedown cards in Archives should be oriented horizontally so that the Runner can easily see they are present.",,
rule_archives_faceup_open_info,"4.4.6.c. The faceup cards in Archives are open information. Any player may look through the faceup cards in Archives at any time. The facedown cards in Archives are visible only to the Corp. The Corp may look through the facedown cards in Archives at any time, but the Runner cannot look at them.",,
subsec_heap,4.4.7. Heap,,
rule_heap_name,4.4.7.a. The {term:heap} is the name for the Runner's discard pile.,,
rule_heap_open_info,4.4.7.b. The cards in the heap are open information. Any player may look through the cards in the heap at any time.,,
sec_score_area,4.5. Score Area,,
sec_score_area-snippet,"The score areas represent major accomplishments for each player in service of their long-term ambitions. The Corp's score area contains all large-scale projects they have seen to completion. The Runner's score area is a memorial to all such initiatives they have successfully disrupted, exposed, or sold details of to the highest bidder.",,
rule_score_area,4.5.1. A player's {term:score area} is the zone in which they place agendas they have scored or stolen. {ref:Sec_score_scoring_steal} details scoring and stealing agendas. Score areas start the game empty.,,
rule_score_area_open_info,4.5.2. The agendas in a score area are open information. A player may look through or count the agendas in a score area at any time.,,
rule_score_area_unordered,4.5.3. Score areas are not ordered. A player may freely arrange the agendas in their score area in any order at any time.,,
rule_score_area_active_inactive,4.5.4. Agendas in the Corp's score area are active. Agendas in the Runner's score area are inactive unless stated otherwise.,,
sec_play_area,4.6. Play Area,,
rule_play_area,4.6.1. The {term:play area} is the shared active zone into which cards are played or installed. The play area normally starts the game empty except for each of the player's identities.,,
rule_play_area_start_game,4.6.1.a. {ref:Sec_extra_cards} details cases where an ability may cause cards to start the game in the play area.,,
rule_play_area_number_location_open_info,4.6.2. The number of cards in the play area and the location of each card in the play area is always open information.,,
rule_play_area_card_open_info,4.6.3. Whether or not a card itself and its attributes are open information while in the play area is determined by the card's status. Cards that are faceup are open information and can be examined by any player at any time. Cards that are facedown are secret information and can only be examined by the player who controls the card. See {ref:sec_information}.,,
rule_play_area_active_inactive,4.6.4. Whether or not a card is active while in the play area is determined by the card's status.,,
rule_play_area_identity,4.6.4.a. Identities start the game in the play area and are always active.,,
rule_play_area_corp_cards,"4.6.4.b. Generally, Corp agendas, assets, ice, and upgrades are installed into the play area unrezzed and thus inactive. They are active while rezzed. See {ref:sec_install_uninstall}.",,
rule_play_area_runner_cards,"4.6.4.c. Generally, Runner hardware, programs, and resources are installed into the play area faceup and active. See {ref:sec_install_uninstall}.",,
rule_play_area_faceup_facedown,4.6.4.d. Some Runner cards are installed facedown or turned facedown through card abilities. This is distinct from the status of rezzed/unrezzed that Corp cards can have. Facedown Runner cards are not active. See {ref:sec_facedown_runner_cards}.,,
rule_play_area_operations_events,4.6.4.e. Operations and events are played into the play area faceup and are active for the duration of their resolution before being trashed. See {ref:sec_playing_events_and_operations}.,,
rule_play_area_organization,4.6.5. Some objects in the play area are organized into specific orientations and/or locations.,,
rule_play_area_corp_cards_distinct_server,"4.6.5.a. Corp cards are arranged into distinct servers. Agendas and assets are installed in the roots of remote servers, upgrades are installed in the roots of any servers, and pieces of ice are installed horizontally protecting servers. See {ref:subsec_servers} and {ref:subsec_protecting_a_server}.",,
rule_play_area_corp_identity,4.6.5.b. The Corp's identity is used to indicate where in the play area HQ exists for the purposes of installing upgrades in the root of HQ and ice protecting HQ. See {ref:subsec_central_servers}.,,
rule_play_area_runner_identity,"4.6.5.c. The Runner's identity, hardware, programs, and resources do not have specific locations in the play area.",,
rule_play_area_operation_events,"4.6.5.d. There is no specific location in the play area for operations or events. They are simply played into the play area, where they resolve before being trashed. See {ref:sec_playing_events_and_operations}.",,
rule_play_area_credit_pool,"4.6.5.e. Each player has a credit pool, which is a location in the play area where credits they control are kept.",,
rule_play_area_counters,"4.6.5.f. Counters other than credits have no specific location in the play area. Tag counters are always controlled by the Runner, and bad publicity counters are always controlled by the Corp. Other types of counters are either nonfunctional gameplay aids or appear only in host relationships. See also {ref:sec_counters_and_tokens}.",,
rule_play_area_installed_hosted,"4.6.5.g. Some cards can act as install locations for other cards while in the play area, such that cards of a specific type can be hosted directly onto them during the installation process. In this type of host relationship, both the host card and the hosted card are in the play area, but the host relationship can affect certain aspects of either the card or the installation process. See {ref:sec_host}.",,
rule_play_area_not_installed_hosted,"4.6.5.h. Some cards can host other cards without installing them. In this type of host relationship, both the host card and the hosted card are in the play area, but the hosted card is not installed and thus not active. See {ref:sec_host}.",,
subsec_servers,4.6.6. Servers,,
rule_server,"4.6.6.a. A {term:server} is a set of locations where the Corp installs their cards into the play area and against which the Runner can initiate runs. Whenever a Corp installs an agenda, asset, ice, or upgrade, they must choose a destination server for that card. See {ref:sec_install_uninstall}.",,
rule_corp_cards_cannot_be_moved,"4.6.6.b. Once a Corp card is installed, it cannot be moved from its server without explicit direction from a game rule or card effect.",,
rule_server_types,"4.6.6.c. The two types of servers are central servers and remote servers. See {ref:subsec_central_servers,subsec_remote_servers}, respectively.",,
rule_server_ice,4.6.6.d. All servers can have ice installed protecting them. See {ref:subsec_protecting_a_server}.,,
rule_server_root,"4.6.6.e. All servers have a {term:root} where cards can be installed. A central server's root can contain any number of upgrades, while a remote server's root can contain 1 asset or agenda and any number of upgrades. Assets and agendas cannot be installed in the root of a central server.",,
rule_server_root_order,"4.6.6.f. All cards installed in the root of a server are kept in the same orientation and location together. The order in which the cards are installed is open information, but the type of cards installed in the root of a remote server should not be derivable from their orientation or location.",,
rule_region_unique,4.6.6.g. Only 1 {subtype:region} upgrade can be installed in the root of a server at a time. See {ref:subsec_regions}.,,
rule_upgrade_server_restriction,4.6.6.h. Some upgrades have restrictions limiting them to specific servers. See {ref:rule_x_server_only}.,,
rule_this_server,"4.6.6.i. Some cards refer to the server where they are located (or the central server corresponding to the zone where they are located) using the phrase ""this server"". If an ability is initiated by a trigger condition or cost involving the ability's source card moving from a server, its root, or protecting it to another server or to a location not associated with any server, treat ""this server"" as referring to the server associated with the previous location of the card throughout resolution of that ability. If an ability moves its source card while it is resolving, continue to interpret ""this server"" based on the card's previous location.",,
rule_this_server-1-example,"The Runner trashes a rezzed {card:Warroid Tracker}. This meets the trigger condition of {card:Warroid Tracker}'s ability, but by the time a checkpoint is resolved and an instance of the ability would become pending, {card:Warroid Tracker} itself is no longer installed. The use of ""this server"" in the trigger condition still refers to the server from which {card:Warroid Tracker} was trashed, not to the server of {card:Warroid Tracker}'s new location in Archives.",,
rule_this_server-2-example,"The Corp uses the ability granted by {card:ZATO City Grid} to trash {card:Border Control} and resolve its first subroutine. The phrase ""this server"" in that subroutine refers to the server from which the {card:Border Control} was trashed. However, {card:Border Control} is no longer protecting that server, so it is not included in the number of ice counted.",,
rule_this_server-3-example,"The Corp uses {card:Nanisivik Grid} to turn a facedown {card:Border Control} in Archives faceup and resolve its first subroutine. {card:Border Control} was not moved between servers, so ""this server"" in that subroutine refers to Archives.",,
rule_another_server,"4.6.6.j. If an ability on a card currently or previously located in a server, its root, or protecting it  refers to ""another server"", this means any server except ""this server"" as interpreted by {ref:rule_this_server}. If a card's abilities involve choosing a server, ""another server"" in a linked ability means any server except the chosen server. If neither of the previous cases apply and a run is in progress, ""another server"" means any server except the attacked server.",,
rule_host_server,"4.6.6.k. If an ability on an object uses the phrase ""this server"", and that object is hosted on another object (see {ref:sec_host}), the server referred to is the server of the host object.",,
subsec_central_servers,4.6.7. Central Servers,,
rule_three_central_servers,"4.6.7.a. The Corp has three {term:central servers} at all times. Each central server corresponds to one of the Corp's zones: HQ corresponds to the Corp's hand, R&D corresponds to the Corp's deck, and Archives corresponds to the Corp's discard pile.",,
rule_hq_identity,"4.6.7.b. The Corp's identity is in the play area to indicate the location of HQ relative to other servers, but it is not in HQ, in the root of HQ, or protecting HQ. The cards in HQ are held in the Corp's hand. The upgrades installed in the root of HQ are placed in a vertical orientation near the Corp's identity. The ice installed protecting HQ are placed in a horizontal orientation in front of the Corp's identity outwards towards the Runner.",,
rule_rnd_deck,"4.6.7.c. The Corp's deck is placed in the play area to indicate the location of R&D relative to other servers, but the cards in the deck are not installed. The cards in R&D are the cards in the deck. The upgrades installed in the root of R&D are placed in a vertical orientation near the deck. The ice installed protecting R&D are placed in a horizontal orientation in front of the deck outwards towards the Runner.",,
rule_archives_discard_pile,"4.6.7.d. The Corp's discard pile is placed in the play area to indicate the location of Archives relative to other servers, but the cards in the discard pile are not installed. The cards in Archives are the cards in the discard pile. The upgrades installed in the root of Archives are placed in a vertical orientation near the discard pile. The ice installed protecting Archives are placed in a horizontal orientation in front of the discard pile outwards towards the Runner.",,
subsec_remote_servers,4.6.8. Remote Servers,,
rule_remote_server,4.6.8.a. A {term:remote server} is the only type of server that can contain an asset or agenda in its root.,,
rule_creating_remote_servers,4.6.8.b. The Corp starts the game with no remote servers. The Corp creates a new remote server by declaring it as the destination server for a card they are about to install. There is usually no limit to the number of remote servers the Corp can have at any given time.,,
rule_separate_remote_servers,"4.6.8.c. Cards installed in the roots of separate remote servers are placed in a vertical orientation in a row extending away from the central servers to indicate the locations of the remote servers relative to other servers. The ice installed protecting each remote server are placed in a horizontal orientation in front of any cards in the root of that server, outwards towards the Runner.",,
rule_remote_server_existence,"4.6.8.d. A remote server exists as long as there is at least one card in the root of or protecting it. A remote server can be made up of only ice protecting it, only cards installed in it, or a combination of both.",,
rule_remote_server_cease_to_exist,"4.6.8.e. During checkpoints, a remote server ceases to exist if there are no cards installed in its root and no cards installed protecting it. If a server ceases to exist during a run against it, then the run ends after any currently open paid ability window closes. Unless the run has already been declared either successful or unsuccessful, it is neither. See {ref:rule_server_ceases_to_exist}.",,
rule_limit_remote_servers,"4.6.8.f. Some abilities limit the number of remote servers. While such an ability is active, the Corp cannot create a new remote server if this would raise the total number of remote servers above the specified limit. During {ref:step_checkpoint_card_restrictions} of each checkpoint, if there are more remote servers than an active limit allows, the Corp player chooses a number of servers equal to the limit. The checkpoint then trashes all cards in the root of and protecting each remote server that was not chosen.",,
rule_limit_remote_servers-1-example,"The Corp's identity is {card:Earth Station: SEA Headquarters}, which has the ability ""Limit 1 remote server."" If any remote servers exist, the Corp cannot create a new remote server.",,
subsec_protecting_a_server,4.6.9. Protecting a Server,,
rule_ice_ordered,4.6.9.a. An installed piece of ice is arranged in a horizontal position in front of the server it is protecting. Ice are ordered within the play area. The location of a piece of ice is defined by the server it is protecting and the number of other pieces of ice between it and the server.,,
rule_innermost_ice,"4.6.9.b. If there is no other ice between the server and a piece of ice, that ice is the innermost piece of ice. If there is no ice farther from the server than a piece of ice, that ice is the outermost piece of ice. If there is only one piece of ice protecting a server, that ice is both the innermost and the outermost piece of ice.",,
rule_ice_same_position,"4.6.9.c. If two pieces of ice protecting two different servers share the same number of ice between them and their respective servers, those pieces of ice are considered to be in the same position.",,
rule_ice_install_outermost,"4.6.9.d. When the Corp installs a piece of ice protecting a server, they must place it in the outermost position protecting that server. See {ref:sec_install_uninstall}.",,
rule_ice_move,"4.6.9.e. If the number of other ice between a piece of ice and the server changes, its position will change accordingly, moving either closer or farther from the server. If this occurs while that ice is being approached, encountered, or passed during a run, the Runner's position attacking the server changes in the same way.",,
sec_bank,4.7. Bank,,
rule_bank_counter_supply,4.7.1. The {term:bank} is an inactive zone shared by both players. It holds an unlimited supply of counters for use during gameplay.,,
rule_counters_default_from_bank,4.7.2. Counters placed or loaded onto a card are taken from the bank unless otherwise specified. Counters gained by players are taken from the bank unless otherwise specified.,,
rule_spent_counters_returned_to_bank,4.7.3. Credits and other counters that are spent to pay costs return to the bank.,,
rule_illegal_location_counters_returned_to_bank,4.7.4. Counters that are not in a legal location return to the bank during checkpoints. See {ref:sec_checkpoints}.,,
rule_cards_never_in_bank,4.7.5. Cards are never located in the bank.,,
sec_set_aside,4.8. Set Aside,,
rule_set_aside_zone,4.8.1. The {term:set-aside zone} is an inactive zone shared by both players. It is used as a temporary holding space for objects being affected by abilities.,,
rule_set_aside,"4.8.2. If an object is ""set aside"", it is moved from its current zone to the set-aside zone.",,
rule_set_aside_zone_passthrough,"4.8.3. An ability cannot see the set-aside zone unless it specifically sets objects aside or refers to set-aside objects. Outside of these cases, cards moved into another zone from the set-aside zone are treated as though they entered that zone directly from their location prior to being set aside.",,
rule_set_aside_zone_passthrough-1-example,"The Runner is playing as {card:Exile} and plays Test Run, searching their heap for a program. Although the program is set aside before being installed, {card:Exile}'s ability treats it as though it were installed directly from the heap, and so {card:Exile} will draw a card.",,
rule_searched_cards_set_aside,"4.8.4. Cards found during a search are set aside facedown while the search completes (in particular, while any deck that was searched is shuffled). See {ref:sec_searching_cards}.",,
rule_set_aside_hosted_counters_trash_ability,4.8.5. Some paid abilities with a trigger cost that uninstalls or forfeits the ability's source card need to refer to or act on that card's hosted cards or counters. These abilities set aside the hosted cards or counters as the trigger cost is paid. See {ref:rule_trash_ability_keeps_track_of_hosted_objects}.,,
rule_set_aside_default_faceup,4.8.6. Cards set aside by a card ability are faceup unless the ability specifically instructs that they be set aside facedown.,,
rule_facedown_set_aside_distinct_groups,4.8.7. Facedown cards in the set-aside zone must be kept in distinct groups according to the effect that sets them aside. Cards within such a group are not ordered and can be freely arranged by their controller.,,
rule_facedown_set_aside_distinct_groups-1-example,"The Runner accesses the top card of R&D and does not steal or trash it. On the next turn, the Corp uses {card:Daily Business Show} to draw that card and 1 other card simultaneously, but must put 1 of the drawn cards on the bottom of R&D. While resolving the draw, the cards are set aside facedown, so the Corp can shuffle them. They do not have to tell the Runner whether the previously-accessed card ends up in HQ or on the bottom of R&D.",,
sec_removed_from_game,4.9. Remove from the Game,,
rule_removed_from_game_zone,4.9.1. The {term:removed-from-game zone} is an inactive zone shared by both players. It is used to take cards out of any player's control until the end of the game.,,
rule_rfg_move,"4.9.2. If a card is removed from the game, it is moved from its current zone to the removed-from-game zone.",,
rule_forfeit_rfg,4.9.3. Forfeiting an agenda removes it from the game. See {ref:movement_forfeit}.,,
rule_rfg_inactive,4.9.4. Cards that have been removed from the game are inactive.,,
rule_rfg_no_interaction,4.9.5. A card that has been removed from the game cannot move out of the removed-from-game zone or otherwise be interacted with.,,
rule_rfg_open_information,4.9.6. Cards that have been removed from the game are open information. Any player may look through or count the cards that have been removed from the game at any time.,,
